s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
1,46,1,86,6.93328,1.98507,2.9744,0.0127387,1.96107,0.0335096
1,45,1,88,7.64829,2.06476,3.63498,0.0160178,1.93254,0.0483978
1,44,1,81,7.41721,1.92453,2.70977,0.0225896,2.76032,0.0972028
1,43,1,96,8.39952,2.22187,3.68609,0.0193983,2.47217,0.0760116
1,42,1,80,7.35093,1.8575,3.49528,0.0156147,1.98253,0.0963839
1,41,1,97,8.66062,2.27273,4.1202,0.0176418,2.25006,0.0703943
1,40,1,94,8.15466,2.17196,3.48066,0.0245483,2.47748,0.0889311
1,39,1,106,8.93772,2.44664,4.04026,0.0218727,2.42894,0.049792
1,38,1,84,5.96862,1.90225,1.31671,0.0215807,2.72808,0.0251144
1,37,1,112,9.17759,2.5764,3.90917,0.0238431,2.66818,0.03383
1,36,1,94,8.64293,2.21223,3.95044,0.0217479,2.45851,0.07168
1,35,1,96,8.42358,2.26006,3.77859,0.0178642,2.36707,0.0937428
1,34,1,87,8.11667,1.98334,3.1522,0.0233798,2.95775,0.0739811
1,33,1,104,8.47154,2.40346,4.04474,0.0171702,2.00616,0.082394
1,32,1,89,7.96975,2.04747,3.63273,0.0203813,2.26918,0.0725848
1,31,1,117,9.84567,2.80117,4.11528,0.0239858,2.90523,0.0477544
1,30,1,81,7.40067,1.89152,3.31561,0.0163104,2.17723,0.068693
1,29,1,85,7.78303,1.95141,3.4677,0.0176055,2.34632,0.098284
1,28,1,82,7.24169,1.93466,3.00667,0.0175546,2.28281,0.0965132
1,27,1,109,9.73482,2.50846,4.32359,0.0237399,2.87902,0.0724396
1,26,1,80,7.37085,1.84499,3.45792,0.018478,2.04946,0.0619932
1,25,1,109,9.17468,2.51463,4.41391,0.0198385,2.22629,0.0487995
1,24,1,86,6.1433,1.94724,1.64119,0.0189563,2.53591,0.0695328
1,23,1,104,8.72691,2.43427,3.9336,0.0204915,2.33855,0.0878386
1,22,1,95,7.52523,2.14834,2.32678,0.0250634,3.02505,0.0665476
1,21,1,93,8.43989,2.19448,3.1882,0.0202489,3.03696,0.0831456
1,20,1,102,9.15278,2.4007,4.3988,0.0198609,2.33342,0.0199299
1,19,1,83,5.823,1.86777,1.24687,0.0237252,2.68463,0.089252
1,18,1,81,6.56033,1.85931,2.64967,0.0103746,2.04097,0.0827666
1,17,1,86,7.60452,1.9903,3.43231,0.0166359,2.16527,0.0933006
1,16,1,124,9.37726,2.89976,3.41105,0.0252319,3.04122,0.0831946
1,15,1,73,7.10613,1.70896,3.35047,0.014284,2.03242,0.0591193
1,14,1,96,8.05611,2.22423,2.99829,0.0210708,2.81251,0.0845127
1,13,1,86,7.69423,1.97812,3.40231,0.0187912,2.29501,0.085375
1,12,1,100,7.51232,2.30382,2.58457,0.0231659,2.60076,0.0737033
1,11,1,106,8.0288,2.40183,3.20368,0.015328,2.40797,0.0596872
1,10,0,200,12.7077,4.57163,4.18645,0.033966,3.91571,0.515112
1,9,1,101,8.75892,2.29789,4.08338,0.0194903,2.35816,0.0631624
1,8,1,102,9.16022,2.39087,4.03252,0.022835,2.71399,0.098758
1,7,1,94,7.04933,2.1685,2.32988,0.0221489,2.52879,0.0116558
1,6,1,105,9.20954,2.48682,4.16651,0.0228108,2.5334,0.0975044
1,5,1,81,6.87227,1.86834,2.76307,0.0136976,2.22715,0.0905736
1,4,1,78,7.26999,1.7848,3.21012,0.0174413,2.25763,0.0654054
1,3,1,86,7.94345,2.00965,3.5298,0.0188603,2.38514,0.0873105
1,2,1,90,8.16781,2.06115,3.64913,0.0176965,2.43984,0.0950057
1,1,1,96,8.53072,2.29193,3.4509,0.0234485,2.76444,0.0716994
1,0,1,89,8.15046,2.04477,3.60635,0.0212419,2.47811,0.0447458
